Author,Rank,Rating,Score,Title,Votes
Margaret Atwood (Goodreads Author),1,4.09,"score: 30,733",The Handmaid's Tale,314
Suzanne Collins,2,4.33,"score: 28,553",The Hunger Games,292
Mary Wollstonecraft Shelley,3,3.78,"score: 21,909",Frankenstein,224
Madeleine L'Engle,4,4.01,"score: 18,720",A Wrinkle in Time,196
Ursula K. Le Guin,5,4.06,"score: 17,920",The Left Hand of Darkness,184
Veronica Roth (Goodreads Author),6,4.21,"score: 13,326",Divergent,138
Suzanne Collins,7,4.29,"score: 12,749",Catching Fire,133
Lois Lowry (Goodreads Author),8,4.12,"score: 12,399",The Giver,129
Octavia E. Butler,9,4.23,"score: 11,070",Kindred,116
Ursula K. Le Guin,10,4.21,"score: 10,731",The Dispossessed,112
Margaret Atwood (Goodreads Author),11,4.01,"score: 10,117",Oryx and Crake,107
Suzanne Collins,12,4.03,"score: 9,807",Mockingjay,104
Audrey Niffenegger (Goodreads Author),13,3.96,"score: 9,193",The Time Traveler's Wife,98
Connie Willis,14,4.03,"score: 8,935",Doomsday Book,96
Ursula K. Le Guin,15,4.11,"score: 7,775",The Lathe of Heaven,84
Ann Leckie (Goodreads Author),16,3.98,"score: 7,336",Ancillary Justice,81
Lois McMaster Bujold (Goodreads Author),17,4.11,"score: 7,017",Shards of Honour,75
Connie Willis,18,4.13,"score: 6,890",To Say Nothing of the Dog,74
Mary Doria Russell (Goodreads Author),19,4.17,"score: 6,873",The Sparrow,72
Anne McCaffrey,20,4.10,"score: 6,802",Dragonflight,74
Octavia E. Butler,21,4.16,"score: 6,653",Parable of the Sower,71
Lois McMaster Bujold (Goodreads Author),22,4.29,"score: 6,087",The Warrior's Apprentice,65
Lois McMaster Bujold (Goodreads Author),23,4.31,"score: 5,623",Barrayar,60
Stephenie Meyer,24,3.84,"score: 5,274",The Host,56
Veronica Roth (Goodreads Author),25,4.05,"score: 4,899",Insurgent,54
Lois McMaster Bujold (Goodreads Author),26,4.45,"score: 4,682",Memory,51
P.D. James,27,3.68,"score: 4,484",The Children of Men,49
G.S. Jennsen (Goodreads Author),28,3.91,"score: 4,394",Starshine: Aurora Rising Book One,45
Margaret Atwood (Goodreads Author),29,4.06,"score: 4,343",The Year of the Flood,47
Anne McCaffrey,30,4.09,"score: 4,235",Crystal Singer,47
Lois McMaster Bujold (Goodreads Author),31,4.33,"score: 4,120",Mirror Dance,47
Octavia E. Butler,32,4.33,"score: 4,108",Lilith's Brood,47
Lois McMaster Bujold (Goodreads Author),33,4.28,"score: 3,895",The Vor Game,46
Octavia E. Butler,34,4.21,"score: 3,842",Wild Seed,43
Madeleine L'Engle,35,4.04,"score: 3,700",A Wind in the Door,42
Lois McMaster Bujold (Goodreads Author),36,4.43,"score: 3,683",A Civil Campaign,43
Lois McMaster Bujold (Goodreads Author),37,4.21,"score: 3,653",Brothers in Arms,43
Lois McMaster Bujold (Goodreads Author),38,4.17,"score: 3,618",Cetaganda,43
Joan D. Vinge,39,3.95,"score: 3,535",The Snow Queen,43
Marissa Meyer (Goodreads Author),40,4.15,"score: 3,440",Cinder,38
C.J. Cherryh (Goodreads Author),41,3.91,"score: 3,381",Downbelow Station,40
Anne McCaffrey,42,4.01,"score: 3,361",The Ship Who Sang,39
Deborah O'Neill Cordes (Goodreads Author),43,3.81,"score: 3,340",Dragon Dawn,34
Anne McCaffrey,44,4.25,"score: 3,092",Dragonsong,36
Lois McMaster Bujold (Goodreads Author),45,3.83,"score: 3,054",Falling Free,37
Lois McMaster Bujold (Goodreads Author),46,3.76,"score: 2,904",Ethan of Athos,36
Madeleine L'Engle,47,4.11,"score: 2,831",A Swiftly Tilting Planet,32
Octavia E. Butler,48,4.12,"score: 2,755",Dawn,32
Lois McMaster Bujold (Goodreads Author),49,4.30,"score: 2,579",Komarr,31
C.J. Cherryh (Goodreads Author),50,3.94,"score: 2,547",Foreigner,30
Kate Wilhelm,51,3.87,"score: 2,535",Where Late the Sweet Birds Sang,30
Nancy Kress (Goodreads Author),52,3.94,"score: 2,526",Beggars in Spain,30
James Tiptree Jr.,53,4.21,"score: 2,524",Her Smoke Rose Up Forever,29
Tanith Lee,54,4.03,"score: 2,504",The Silver Metal Lover,29
Lois McMaster Bujold (Goodreads Author),55,4.37,"score: 2,498",Cordelia's Honor,31
C.J. Cherryh (Goodreads Author),56,3.92,"score: 2,469",The Pride of Chanur,31
Emily St. John Mandel (Goodreads Author),57,4.03,"score: 2,450",Station Eleven,28
C.J. Cherryh (Goodreads Author),58,liked,"score: 2,316",Cyteen,30
Lois McMaster Bujold (Goodreads Author),59,4.24,"score: 2,306",Borders of Infinity,29
Lucinda   Davis (Goodreads Author),60,4.76,"score: 2,300",Goose Island,23
Sheri S. Tepper,61,4.04,"score: 2,203",Grass,27
K.T. Hanna (Goodreads Author),62,4.18,"score: 2,199",Chameleon,22
Sheri S. Tepper,63,4.05,"score: 2,191",The Gate to Women's Country,27
Joanna Russ,64,3.54,"score: 2,128",The Female Man,26
Kage Baker,65,3.77,"score: 2,038",In the Garden of Iden,26
Ceri London (Goodreads Author),66,4.44,"score: 2,013",Rogue Genesis,21
Octavia E. Butler,67,4.24,"score: 2,006",Parable of the Talents,25
C.J. Cherryh (Goodreads Author),68,4.12,"score: 1,931",The Faded Sun Trilogy,23
Lois McMaster Bujold (Goodreads Author),69,4.18,"score: 1,914",Diplomatic Immunity,26
Naomi Novik (Goodreads Author),70,4.06,"score: 1,849",His Majesty's Dragon,22
Elizabeth Moon,71,liked,"score: 1,819",The Speed of Dark,24
Marion Zimmer Bradley,72,3.88,"score: 1,748",Darkover Landfall,21
Hayley Stone (Goodreads Author),73,3.79,"score: 1,698",Machinations,17
G.S. Jennsen (Goodreads Author),74,4.22,"score: 1,684",Vertigo,18
Lois McMaster Bujold (Goodreads Author),75,4.06,"score: 1,683",CryoBurn,24
Octavia E. Butler,76,4.33,"score: 1,659",Seed to Harvest,20
Ursula K. Le Guin,77,4.04,"score: 1,572",The Wind's Twelve Quarters,19
Elizabeth Moon,78,4.06,"score: 1,547",Remnant Population,20
Ursula K. Le Guin,79,3.95,"score: 1,510",The Word for World is Forest,20
Ann Aguirre (Goodreads Author),80,3.73,"score: 1,497",Grimspace,17
Nicola Griffith (Goodreads Author),81,3.86,"score: 1,477",Ammonite,20
Beth Revis (Goodreads Author),82,3.77,"score: 1,435",Across the Universe,16
C.J. Cherryh (Goodreads Author),83,4.19,"score: 1,392",Inheritor,18
Mya Robarts,84,4.02,"score: 1,380",The V Girl,15
Lauren Oliver (Goodreads Author),85,3.98,"score: 1,366",Delirium,15
Vonda N. McIntyre,86,3.86,"score: 1,324",Dreamsnake,18
Pamela Sargent (Goodreads Author) (editor),87,liked,"score: 1,297",Women of Wonder: Science-Fiction Stories by Women about Women,16
Martha Wells (Goodreads Author),88,4.15,"score: 1,296",All Systems Red,14
Elizabeth Moon,89,3.98,"score: 1,286",Trading in Danger,16
C.J. Cherryh (Goodreads Author),90,4.17,"score: 1,276",Invader,17
Marge Piercy,90,3.95,"score: 1,276",Woman on the Edge of Time,15
Maureen F. McHugh,92,3.94,"score: 1,253",China Mountain Zhang,18
S.L. Viehl,93,3.80,"score: 1,230",Stardoc,16
Margaret Atwood (Goodreads Author),94,liked,"score: 1,212",MaddAddam,13
Tanya Huff,95,3.98,"score: 1,165",Valor's Choice,16
Connie Willis,96,3.93,"score: 1,142",Bellwether,13
C.S. Friedman,97,4.04,"score: 1,130",This Alien Shore,15
Catherine Asaro (Goodreads Author),98,3.74,"score: 1,119",Primary Inversion,15
Marissa Meyer (Goodreads Author),99,4.29,"score: 1,115",Scarlet,12
Nancy Kress (Goodreads Author),100,3.61,"score: 1,107",Probability Moon,15
Nancy Farmer (Goodreads Author),101,4.10,"score: 1,083",The House of the Scorpion,12
C.J. Cherryh (Goodreads Author),102,4.04,"score: 1,072",Merchanter's Luck,17
Lois Lowry (Goodreads Author),103,3.81,"score: 1,061",Gathering Blue,13
Octavia E. Butler,104,4.19,"score: 1,055",Imago,12
Nicola Griffith (Goodreads Author),105,3.85,"score: 1,034",Slow River,14
Marissa Meyer (Goodreads Author),106,4.45,"score: 1,031",Cress,11
C.J. Cherryh (Goodreads Author),107,4.29,"score: 1,021",Explorer,14
Jo Walton (Goodreads Author),108,3.69,"score: 1,015",Among Others,13
C.J. Cherryh (Goodreads Author),109,3.88,"score: 1,001",Rimrunners,15
Ann Leckie (Goodreads Author),110,4.05,score: 983,Ancillary Sword,12
Jessica Kong (Goodreads Author),111,4.58,score: 982,A Seacat's Love,11
Octavia E. Butler,112,4.16,score: 962,Adulthood Rites,11
Octavia E. Butler,113,4.31,score: 952,Bloodchild and Other Stories,12
C.J. Cherryh (Goodreads Author),114,4.22,score: 951,Precursor,13
Sheri S. Tepper,115,3.82,score: 939,Beauty,11
Lois McMaster Bujold (Goodreads Author),116,4.27,score: 938,The Mountains of Mourning,12
Octavia E. Butler,117,3.87,score: 920,Fledgling,12
Marjorie F. Baldwin (Goodreads Author),118,3.76,score: 901,Conditioned Response,10
Ally Condie (Goodreads Author),119,3.67,score: 889,Matched,10
Elizabeth Moon,120,3.87,score: 884,Hunting Party,13
N.K. Jemisin (Goodreads Author),121,4.32,score: 881,The Fifth Season,10
C.J. Cherryh (Goodreads Author),122,3.77,score: 867,Forty Thousand in Gehenna,14
Ursula K. Le Guin,123,3.72,score: 859,Rocannon's World,12
Mary Doria Russell (Goodreads Author),124,4.06,score: 858,Children of God,9
Joan Slonczewski (Goodreads Author),125,3.97,score: 854,A Door Into Ocean,11
Hillary Jordan (Goodreads Author),126,3.67,score: 851,When She Woke,10
Linnea Sinclair (Goodreads Author),127,liked,score: 849,Games of Command,10
Lois Lowry (Goodreads Author),128,3.91,score: 838,Messenger,11
Julie E. Czerneda (Goodreads Author),129,3.89,score: 837,A Thousand Words for Stranger,11
Sheri S. Tepper,130,liked,score: 831,The Family Tree,10
Lois McMaster Bujold (Goodreads Author),131,4.20,score: 829,Captain Vorpatril's Alliance,11
Cherie Priest (Goodreads Author),132,3.50,score: 819,Boneshaker,12
C.J. Cherryh (Goodreads Author),133,4.19,score: 812,Defender,11
Lissette E. Manning (Goodreads Author),134,3.59,score: 798,Stuck,8
C.J. Cherryh (Goodreads Author),135,4.24,score: 797,Deliverer,10
Ann Leckie (Goodreads Author),136,4.21,score: 796,Ancillary Mercy,9
C.J. Cherryh (Goodreads Author),137,4.24,score: 788,Pretender,11
Ursula K. Le Guin,138,3.99,score: 787,Always Coming Home,10
Kage Baker,139,3.82,score: 775,Sky Coyote,9
Connie Willis,140,3.69,score: 774,Passage,9
C.J. Cherryh (Goodreads Author),141,4.20,score: 772,Destroyer,11
Elizabeth Moon,142,4.06,score: 768,Engaging the Enemy,10
Sharon Lee (Goodreads Author),143,4.51,score: 767,I Dare,11
Ann Aguirre (Goodreads Author),144,3.87,score: 766,Wanderlust,9
C.J. Cherryh (Goodreads Author),145,4.24,score: 750,Conspirator,11
Veronica Roth (Goodreads Author),146,3.63,score: 749,Allegiant,9
C.J. Cherryh (Goodreads Author),147,4.04,score: 737,Chanur's Venture,11
Nancy Farmer (Goodreads Author),148,3.86,score: 736,"The Ear, the Eye, and the Arm",8
Elizabeth Moon,149,4.09,score: 731,Command Decision,9
Anne McCaffrey,150,4.46,score: 724,Dragonflight / Dragonquest,12
Jeanette Winterson,151,3.68,score: 720,The Stone Gods,8
Anne McCaffrey,152,3.94,score: 718,Freedom's Landing,8
C.S. Friedman,153,3.89,score: 714,In Conquest Born,9
Anne McCaffrey,154,4.10,score: 700,Dragonquest,11
C.J. Cherryh (Goodreads Author),155,4.27,score: 698,Deceiver,10
Anne McCaffrey,156,4.03,score: 697,The Rowan,8
Jo Walton (Goodreads Author),157,3.81,score: 691,Farthing,8
Suzette Haden Elgin,158,4.01,score: 683,Native Tongue,9
Diane Duane (Goodreads Author),159,3.82,score: 672,So You Want to Be a Wizard,8
Marge Piercy,160,3.98,score: 670,"He, She and It",7
Rachel Bach (Goodreads Author),161,3.96,score: 669,Fortune's Pawn,8
Elizabeth Bear (Goodreads Author),162,3.70,score: 651,Hammered,9
Moira Young (Goodreads Author),163,3.92,score: 639,Blood Red Road,7
James Tiptree Jr.,164,3.75,score: 638,Brightness Falls from the Air,8
Anne McCaffrey,165,4.02,score: 636,Killashandra,9
Janet E. Morris (Goodreads Author),166,3.97,score: 617,Dream Dancer,7
Kameron Hurley (Goodreads Author),167,3.65,score: 615,God's War,7
Joan D. Vinge,168,3.96,score: 614,Psion,10
Becky Chambers,169,4.17,score: 602,"The Long Way to a Small, Angry Planet",7
Julie E. Czerneda (Goodreads Author),170,3.94,score: 601,Survival,8
Jacqueline Carey (Goodreads Author),171,3.83,score: 593,Santa Olivia,7
Becky Chambers,172,4.36,score: 591,A Closed and Common Orbit,7
C.J. Cherryh (Goodreads Author),173,3.95,score: 589,Cuckoo's Egg,8
Chris Moriarty (Goodreads Author),174,3.78,score: 587,Spin State,7
Janet  Edwards (Goodreads Author),174,3.81,score: 587,Earth Girl,6
Sharon Lee (Goodreads Author),176,4.35,score: 584,Carpe Diem,8
J.M. Johnson (Goodreads Author),177,4.69,score: 581,The Shifter Dimension,6
Ann Aguirre (Goodreads Author),178,4.07,score: 576,Killbox,7
Marion Zimmer Bradley,179,4.09,score: 571,The Saga of the Renunciates,7
J.M. Johnson (Goodreads Author),180,4.84,score: 570,Shadow Team GB,6
C.J. Cherryh (Goodreads Author),181,4.22,score: 564,The Chanur Saga,7
Anne McCaffrey,182,4.18,score: 562,The White Dragon,8
Marion Zimmer Bradley,183,3.74,score: 559,The World Wreckers,8
Ann Aguirre (Goodreads Author),184,3.99,score: 551,Doubleblind,7
Karin Lowachee (Goodreads Author),185,4.07,score: 544,Warchild,7
Elizabeth Moon,185,4.08,score: 544,Marque and Reprisal,7
Nalini Singh (Goodreads Author),187,4.12,score: 543,Slave to Sensation,6
C.J. Cherryh (Goodreads Author),188,3.63,score: 536,Hammerfall,8
Gail Carriger (Goodreads Author),189,3.91,score: 535,Soulless,6
Marion Zimmer Bradley,190,4.06,score: 534,The Forbidden Tower,7
Tanith Lee,191,4.24,score: 533,Biting the Sun,7
Cassandra Clare (Goodreads Author),191,4.33,score: 533,Clockwork Angel,7
Lois Lowry (Goodreads Author),193,3.99,score: 532,Son,7
Lois McMaster Bujold (Goodreads Author),194,4.38,score: 527,Young Miles,7
Elizabeth Moon,195,4.09,score: 521,Victory Conditions,7
Rosemary Kirstein,196,3.98,score: 520,The Steerswoman,7
Kate Elliott (Goodreads Author),196,3.94,score: 520,Jaran,6
Ursula K. Le Guin,198,4.37,score: 516,The Ones Who Walk Away from Omelas,8
Lois McMaster Bujold (Goodreads Author),199,4.12,score: 513,Winterfair Gifts,9
Jeanne DuPrau,200,3.86,score: 509,The City of Ember,6
Sheri S. Tepper,201,3.77,score: 504,Six Moon Dance,6
Catherine Asaro (Goodreads Author),202,3.58,score: 503,The Quantum Rose,7
Ioana Visan,203,4.02,score: 500,Human Instincts,5
J.D. Robb (Goodreads Author),203,4.12,score: 500,Naked in Death,7
Kristy Acevedo (Goodreads Author),203,4.13,score: 500,Consider,5
Becca J. Campbell (Goodreads Author),206,3.59,score: 497,Gateway to Reality,5
C.J. Cherryh (Goodreads Author),207,liked,score: 496,Regenesis,8
Veronica Roth (Goodreads Author),208,4.07,score: 492,Four: A Divergent Story Collection,6
Sara Creasy (Goodreads Author),209,3.63,score: 486,Song of Scarabaeus,6
J.M. Johnson (Goodreads Author),210,4.15,score: 480,The Starbirth Assignment: Shifter,5
N.K. Jemisin (Goodreads Author),210,4.34,score: 480,The Obelisk Gate,5
Elizabeth Hand,212,3.72,score: 477,Winterlong,6
Linnea Sinclair (Goodreads Author),213,3.96,score: 475,An Accidental Goddess,6
Kage Baker,214,3.86,score: 474,Mendoza in Hollywood,6
Marion Zimmer Bradley,215,3.97,score: 472,Thendara House,6
Kristine Kathryn Rusch (Goodreads Author),216,3.76,score: 471,The Disappeared,7
Nalo Hopkinson,217,3.91,score: 470,Midnight Robber,6
Karen Traviss (Goodreads Author),218,3.87,score: 450,City of Pearl,7
Becky Chambers,219,4.17,score: 449,"The Long Way to a Small, Angry Planet",5
Connie Willis,220,4.06,score: 441,All Clear,6
N.K. Jemisin (Goodreads Author),221,4.37,score: 440,The Stone Sky,5
Pamela Sargent (Goodreads Author),222,3.83,score: 433,The Shore of Women,6
Sharon Lee (Goodreads Author),223,4.30,score: 428,Conflict of Honors,6
Catherine Asaro (Goodreads Author),223,3.92,score: 428,The Last Hawk,6
Catherine Fisher,225,3.70,score: 426,Sapphique,5
Kameron Hurley (Goodreads Author),226,3.66,score: 424,The Stars are Legion,5
Elizabeth Bear (Goodreads Author),227,3.84,score: 422,Worldwired,7
Elizabeth Moon,227,4.02,score: 422,Rules of Engagement,7
Suzy McKee Charnas (Goodreads Author),229,3.55,score: 421,Walk to the End of the World,7
C.J. Cherryh (Goodreads Author),230,3.91,score: 418,Serpent's Reach,7
Ursula K. Le Guin,231,3.69,score: 417,Planet of Exile,5
Catherine Fisher,232,3.64,score: 416,Incarceron,5
Marlen Haushofer,233,liked,score: 413,The Wall,5
Diane Duane (Goodreads Author),234,3.97,score: 412,"My Enemy, My Ally",5
Sharon Lee (Goodreads Author),235,4.27,score: 411,Local Custom,6
Nancy Kress (Goodreads Author),236,3.57,score: 408,An Alien Light,6
A.C. Crispin,236,3.96,score: 408,Yesterday's Son,5
Ilona Andrews (Goodreads Author),238,4.07,score: 407,Magic Bites,5
Pat Cadigan (Goodreads Author),239,3.72,score: 406,Synners,5
Ann Aguirre (Goodreads Author),239,4.03,score: 406,Endgame,5
Sharon Lee (Goodreads Author),241,4.40,score: 404,Plan B,7
Madeleine L'Engle,242,4.35,score: 402,The Time Quartet Box Set,5
Kage Baker,243,4.01,score: 400,The Graveyard Game,6
Ann Aguirre (Goodreads Author),243,4.03,score: 400,Aftermath,5
Chris Mandeville (Goodreads Author),243,4.08,score: 400,Seeds,4
E.J. Fisch (Goodreads Author),246,3.86,score: 398,Dakiti,4
Becca J. Campbell (Goodreads Author),247,3.97,score: 396,Foreign Identity,4
Andre Norton,247,3.84,score: 396,Witch World,6
Nnedi Okorafor (Goodreads Author),247,3.96,score: 396,Who Fears Death,5
Ninni Holmqvist,250,3.72,score: 393,The Unit,5
Lois McMaster Bujold (Goodreads Author),251,4.52,score: 392,Miles in Love,7
Karin Boye,251,3.80,score: 392,Kallocain,4
Connie Willis,251,3.83,score: 392,Blackout,6
Michele Fogal (Goodreads Author),254,4.03,score: 391,Root of the Spark,4
R. Lee Smith (Goodreads Author),255,4.09,score: 389,The Last Hour of Gann,4
Barbara Hambly (Goodreads Author),256,3.93,score: 385,Ishmael,5
Catherynne M. Valente (Goodreads Author),257,3.76,score: 384,Radiance,5
Catherine Asaro (Goodreads Author),258,3.78,score: 383,Catch the Lightning,6
Elizabeth Bear (Goodreads Author),259,3.78,score: 378,Scardown,5
Julian May,260,4.07,score: 376,The Many-Colored Land,5
J.M. Johnson (Goodreads Author),260,4.55,score: 376,The Starbirth Assignment: Transmutes,4
Marissa Meyer (Goodreads Author),262,4.48,score: 374,Winter,4
Tara K. Harper,263,3.99,score: 373,Wolfwalker,4
Sharon Lee (Goodreads Author),264,4.40,score: 369,Scout's Progress,5
Ruth Ozeki (Goodreads Author),265,liked,score: 368,A Tale for the Time Being,4
Kage Baker,266,3.79,score: 366,The Empress of Mars,5
Sylvia Engdahl (Goodreads Author),267,3.98,score: 363,The Far Side of Evil,4
Octavia E. Butler,268,3.83,score: 362,Clay's Ark,4
Sheri S. Tepper,269,4.20,score: 357,The True Game,5
Katie Waitman,269,4.27,score: 357,The Merro Tree,5
Emma Bull (Goodreads Author),271,4.02,score: 352,War for the Oaks,5
G. Willow Wilson (Goodreads Author),272,3.84,score: 350,Alif the Unseen,4
Linnea Sinclair (Goodreads Author),273,3.92,score: 349,Finders Keepers,5
Debra Doyle,274,3.90,score: 348,The Price of the Stars,5
Ilona Andrews (Goodreads Author),275,4.19,score: 346,Clean Sweep,4
Sharon Lee (Goodreads Author),276,4.16,score: 345,Agent of Change,6
Emma Bull (Goodreads Author),277,3.85,score: 343,Bone Dance,5
Elizabeth Moon,278,4.16,score: 342,Heris Serrano,4
Ally Condie (Goodreads Author),279,3.52,score: 341,Crossed,4
Toni Morrison,280,3.81,score: 339,Beloved,4
Veronica Roth (Goodreads Author),281,4.17,score: 338,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,4
Ally Condie (Goodreads Author),282,3.56,score: 337,Reached,4
Kass Morgan (Goodreads Author),282,3.57,score: 337,The 100,4
Joan Slonczewski (Goodreads Author),284,4.14,score: 330,Brain Plague,5
Connie Willis,284,3.52,score: 330,Lincoln's Dreams,4
C.S. Friedman,286,4.05,score: 327,The Madness Season,4
Diane Duane (Goodreads Author),287,3.78,score: 323,The Wounded Sky,4
Linnea Sinclair (Goodreads Author),288,3.63,score: 322,The Down Home Zombie Blues,5
Ursula K. Le Guin,288,3.85,score: 322,City of Illusions,5
Nnedi Okorafor (Goodreads Author),288,3.96,score: 322,Binti,4
Andre Norton,291,3.75,score: 321,The Time Traders,5
Eleanor Arnason,292,3.90,score: 320,Ring of Swords,4
Kelley Eskridge (Goodreads Author),292,3.98,score: 320,Solitaire,4
Marion Zimmer Bradley,292,3.71,score: 320,Two to Conquer,5
Ann Aguirre (Goodreads Author),295,3.92,score: 318,Enclave,4
Linda Nagata (Goodreads Author),295,3.90,score: 318,Vast,4
A.C. Crispin,297,4.04,score: 316,Time for Yesterday,4
Laline Paull (Goodreads Author),298,3.69,score: 315,The Bees,4
Connie Willis,299,3.50,score: 310,Uncharted Territory,5
Pamela Sargent (Goodreads Author) (Editor/Contributor),300,4.12,score: 306,"Women of Wonder, the Contemporary Years: Science Fiction by Women from the 1970s to the 1990s",4
C.J. Cherryh (Goodreads Author),301,3.70,score: 304,Wave Without a Shore,4
Lara Adrian (Goodreads Author),302,3.93,score: 302,Kiss of Midnight,4
J.A. Huss,303,3.67,score: 300,Clutch,3
M.H. Soars (Goodreads Author),303,3.83,score: 300,The Prophecy of Arcadia,3
Danelle O'Donnell (Goodreads Author),303,4.17,score: 300,The Founder's Curse,3
Sharleen Nelson (Goodreads Author),303,4.92,score: 300,The Time Tourists,3
Kitty Cook (Goodreads Author),303,4.48,score: 300,Sleeping Together,3
Marion Zimmer Bradley,308,4.02,score: 299,A World Divided,4
M.K. Wren,308,3.88,score: 299,A Gift Upon the Shore,4
Sarah Zettel (Goodreads Author),308,3.88,score: 299,Fool's War,4
Michelle Browne (Goodreads Author),311,3.61,score: 298,...And the Stars Will Sing,3
Tara Ellis (Goodreads Author),311,4.02,score: 298,Bloodline,3
C.J. Cherryh (Goodreads Author),313,4.28,score: 297,Betrayer,4
J.A. Huss,313,4.08,score: 297,Fledge,3
Tara Ellis (Goodreads Author),313,4.39,score: 297,Heritage,3
Rosemary Kirstein,316,4.31,score: 296,The Outskirter's Secret,5
Tara Ellis (Goodreads Author),316,4.45,score: 296,"Forgotten Origins Trilogy - Box Set: Infected, Heritage, Descent",3
E.J. Fisch (Goodreads Author),318,4.20,score: 295,Nexus,3
J.A. Huss,319,4.11,score: 294,Flight,3
Anne McCaffrey,320,3.87,score: 293,Powers That Be,4
Karen Joy Fowler,320,3.72,score: 293,We Are All Completely Beside Ourselves,4
Sheri S. Tepper,322,3.87,score: 290,The Margarets,4
Nnedi Okorafor (Goodreads Author),322,3.63,score: 290,Lagoon,3
Cassandra Clare (Goodreads Author),322,4.45,score: 290,Clockwork Prince,3
Vonda N. McIntyre,325,3.77,score: 289,Nautilus,4
Mur Lafferty (Goodreads Author),325,3.84,score: 289,Six Wakes,3
Catherine Asaro (Goodreads Author),327,3.81,score: 287,Schism,4
Kiera Cass (Goodreads Author),328,4.14,score: 286,The Selection,3
Kage Baker,329,3.88,score: 284,The Sons of Heaven,4
Scarlett Thomas (Goodreads Author),329,3.79,score: 284,The End of Mr. Y,4
Ada Palmer (Goodreads Author),329,3.82,score: 284,Too Like the Lightning,3
Kelly Sue DeConnick (Goodreads Author) (Writer),332,4.05,score: 282,"Bitch Planet, Vol. 1: Extraordinary Machine",3
Lisa Mason (Goodreads Author),333,3.89,score: 281,The Golden Nineties,3
Elizabeth Bear (Goodreads Author),334,3.65,score: 280,Dust,4
C.J. Cherryh (Goodreads Author),334,4.15,score: 280,Chanur's Homecoming,5
Susan  Kay,334,4.33,score: 280,Phantom,3
Margaret Peterson Haddix,337,3.98,score: 279,Among the Hidden,4
Sandra McDonald,337,3.43,score: 279,The Outback Stars,4
Elizabeth Bear (Goodreads Author),339,3.59,score: 278,Carnival,4
Malka Ann Older (Goodreads Author),339,3.54,score: 278,Infomocracy,3
Marion Zimmer Bradley,341,3.77,score: 276,City of Sorcery,4
Jacqueline Koyanagi (Goodreads Author),341,3.57,score: 276,Ascension,3
H.B.  Morris (Goodreads Author),341,4.85,score: 276,Genie-Alogy,3
C.J. Cherryh (Goodreads Author),344,3.87,score: 275,Rider at the Gate,4
Rinelle Grey (Goodreads Author),344,3.53,score: 275,Reckless Rescue,3
Melissa Scott (Goodreads Author),346,3.81,score: 274,Trouble and Her Friends,3
Holly Black (Goodreads Author),346,3.85,score: 274,The Coldest Girl in Coldtown,3
Claire North,348,4.04,score: 273,The First Fifteen Lives of Harry August,3
Laura Thalassa (Goodreads Author),349,3.89,score: 270,The Vanishing Girl,3
Sheri S. Tepper,350,3.93,score: 269,The Fresco,3
Kristine Kathryn Rusch (Goodreads Author),350,3.53,score: 269,Diving into the Wreck,5
Pamela Sargent (Goodreads Author) (Editor),352,4.20,score: 267,"Women of Wonder, the Classic Years: Science Fiction by Women from the 1940s to the 1970s",4
Maria V. Snyder (Goodreads Author),352,3.82,score: 267,Inside Out,3
Karen Lord,354,3.59,score: 266,The Best of All Possible Worlds,3
Margaret Weis (Goodreads Author),355,4.15,score: 265,Time of the Twins,3
Karen Joy Fowler,356,3.45,score: 264,Sarah Canary,3
Kage Baker,357,3.85,score: 262,The Children of the Company,4
Sara Creasy (Goodreads Author),357,3.78,score: 262,Children of Scarabaeus,3
Ursula K. Le Guin,357,liked,score: 262,A Fisherman of the Inland Sea,3
Ann Aguirre (Goodreads Author),360,3.89,score: 259,Perdition,4
Ursula K. Le Guin,361,4.21,score: 258,"Worlds of Exile and Illusion: Rocannon's World, Planet of Exile, City of Illusions",3
Margaret Peterson Haddix,362,3.73,score: 257,Turnabout,3
Kathleen Ann Goonan,362,3.46,score: 257,Queen City Jazz,3
Sharon Lee (Goodreads Author),364,4.47,score: 256,Partners In Necessity,4
Kristine Kathryn Rusch (Goodreads Author),364,3.96,score: 256,Extremes,4
Tanith Lee,366,3.90,score: 255,"Sabella, or, The Bloodstone",3
Karen Lord,366,3.85,score: 255,Redemption in Indigo,3
C.J. Cherryh (Goodreads Author),368,3.97,score: 253,The Collected Short Fiction of C.J. Cherryh,4
Linda Nagata (Goodreads Author),368,3.88,score: 253,The Bohr Maker,3
Linnea Sinclair (Goodreads Author),370,3.63,score: 251,Gabriel's Ghost,5
Brenda Cooper (Goodreads Author),371,3.63,score: 250,The Silver Ship and the Sea,3
Gemma Malley,371,3.71,score: 250,The Declaration,3
Susan Grant (Goodreads Author),373,3.70,score: 248,Contact,4
Carolyn Ives Gilman,374,liked,score: 247,Halfway Human,3
Gwyneth Jones,374,3.47,score: 247,Life,3
Linnea Sinclair (Goodreads Author),374,3.86,score: 247,Shades of Dark,4
Elizabeth Bear (Goodreads Author),374,3.55,score: 247,New Amsterdam,4
Kage Baker,378,3.94,score: 246,The Life of the World to Come,4
Eleanor Arnason,378,3.82,score: 246,A Woman of the Iron People,4
Carolyn Ives Gilman,380,3.67,score: 243,Dark Orbit,3
